# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
2482;0028 0031 0035 0029;(⒂) ((15));(PARENTHESIZED NUMBER FIFTEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT FIVE  RIGHT PARENTHESIS)
2483;0028 0031 0036 0029;(⒃) ((16));(PARENTHESIZED NUMBER SIXTEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT SIX  RIGHT PARENTHESIS)
2484;0028 0031 0037 0029;(⒄) ((17));(PARENTHESIZED NUMBER SEVENTEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT SEVEN  RIGHT PARENTHESIS)
2485;0028 0031 0038 0029;(⒅) ((18));(PARENTHESIZED NUMBER EIGHTEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT EIGHT  RIGHT PARENTHESIS)
2486;0028 0031 0039 0029;(⒆) ((19));(PARENTHESIZED NUMBER NINETEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT NINE  RIGHT PARENTHESIS)
2487;0028 0032 0030 0029;(⒇) ((20));(PARENTHESIZED NUMBER TWENTY) (LEFT PARENTHESIS  DIGIT TWO  DIGIT ZERO  RIGHT PARENTHESIS)
249C;0028 0061 0029;(⒜) ((a));(PARENTHESIZED LATIN SMALL LETTER A) (LEFT PARENTHESIS  LATIN SMALL LETTER A  RIGHT PARENTHESIS)
249D;0028 0062 0029;(⒝) ((b));(PARENTHESIZED LATIN SMALL LETTER B) (LEFT PARENTHESIS  LATIN SMALL LETTER B  RIGHT PARENTHESIS)
249E;0028 0063 0029;(⒞) ((c));(PARENTHESIZED LATIN SMALL LETTER C) (LEFT PARENTHESIS  LATIN SMALL LETTER C  RIGHT PARENTHESIS)
249F;0028 0064 0029;(⒟) ((d));(PARENTHESIZED LATIN SMALL LETTER D) (LEFT PARENTHESIS  LATIN SMALL LETTER D  RIGHT PARENTHESIS)
